"year","num_disputes","avg_foreign_max","fti"
1950,5,3.8,19
1951,1,4,4
1952,1,4,4
1953,2,3.5,7
1954,4,3.5,14
1955,3,3.66666666666667,11
1956,5,3.4,17
1957,1,4,4
1958,3,3.33333333333333,10
1959,4,3.75,15
1960,3,3.33333333333333,10
1961,2,4.5,9
1962,2,4,8
1963,2,3.5,7
1964,2,3,6
1965,4,3.75,15
1966,2,4,8
1967,3,3,9
1968,1,3,3
1969,3,4,12
1970,NA,NA,0
1971,2,3,6
1972,1,4,4
1973,1,3,3
1974,3,3.66666666666667,11
1975,2,3,6
1976,NA,NA,0
1977,1,4,4
1978,2,4.5,9
1979,2,3.5,7
1980,1,4,4
1981,1,4,4
1982,2,3,6
1983,2,3.5,7
1984,1,4,4
1985,3,4,12
1986,3,4.33333333333333,13
1987,2,3.5,7
1988,2,4,8
1989,NA,NA,0
1990,NA,NA,0
1991,1,3,3
1992,NA,NA,0
1993,4,1.75,7
1994,4,1.75,7
1995,5,3.6,18
1996,3,2.66666666666667,8
1997,1,4,4
1998,2,3.5,7
1999,2,2,4
2000,NA,NA,0
2001,4,2,8
2002,6,1.83333333333333,11
2003,5,2.6,13
2004,2,2,4
2005,3,1.33333333333333,4
2006,NA,NA,0
2007,2,2,4
2008,NA,NA,0
2009,3,3.33333333333333,10
2010,5,2.6,13
2011,3,3.33333333333333,10
2012,2,2.5,5
2013,4,2,8
2014,7,3,21
